,name,gender,skin_color,hair_color,height,eye_color,mass,homeworld,birth_year,date_edited,time_edited_utc,date_created,time_created_utc
0,Luke Skywalker,male,fair,blond,172,blue,77,1,19BBY,2014-12-20,21:17:56.891000,2014-12-09,13:50:51.644000
1,C-3PO,n/a,gold,n/a,167,yellow,75,1,112BBY,2014-12-20,21:17:50.309000,2014-12-10,15:10:51.357000
2,R2-D2,n/a,"white, blue",n/a,96,red,32,8,33BBY,2014-12-20,21:17:50.311000,2014-12-10,15:11:50.376000
3,Darth Vader,male,white,none,202,yellow,136,1,41.9BBY,2014-12-20,21:17:50.313000,2014-12-10,15:18:20.704000
4,Leia Organa,female,light,brown,150,brown,49,2,19BBY,2014-12-20,21:17:50.315000,2014-12-10,15:20:09.791000
5,Owen Lars,male,light,"brown, grey",178,blue,120,1,52BBY,2014-12-20,21:17:50.317000,2014-12-10,15:52:14.024000
6,Beru Whitesun lars,female,light,brown,165,blue,75,1,47BBY,2014-12-20,21:17:50.319000,2014-12-10,15:53:41.121000
7,R5-D4,n/a,"white, red",n/a,97,red,32,1,unknown,2014-12-20,21:17:50.321000,2014-12-10,15:57:50.959000
8,Biggs Darklighter,male,light,black,183,brown,84,1,24BBY,2014-12-20,21:17:50.323000,2014-12-10,15:59:50.509000
9,Obi-Wan Kenobi,male,fair,"auburn, white",182,blue-gray,77,20,57BBY,2014-12-20,21:17:50.325000,2014-12-10,16:16:29.192000
10,Anakin Skywalker,male,fair,blond,188,blue,84,1,41.9BBY,2014-12-20,21:17:50.327000,2014-12-10,16:20:44.310000
11,Wilhuff Tarkin,male,fair,"auburn, grey",180,blue,unknown,21,64BBY,2014-12-20,21:17:50.330000,2014-12-10,16:26:56.138000
12,Chewbacca,male,unknown,brown,228,blue,112,14,200BBY,2014-12-20,21:17:50.332000,2014-12-10,16:42:45.066000
13,Han Solo,male,fair,brown,180,brown,80,22,29BBY,2014-12-20,21:17:50.334000,2014-12-10,16:49:14.582000
14,Greedo,male,green,n/a,173,black,74,23,44BBY,2014-12-20,21:17:50.336000,2014-12-10,17:03:30.334000
15,Jabba Desilijic Tiure,hermaphrodite,"green-tan, brown",n/a,175,orange,"1,358",24,600BBY,2014-12-20,21:17:50.338000,2014-12-10,17:11:31.638000
16,Wedge Antilles,male,fair,brown,170,hazel,77,22,21BBY,2014-12-20,21:17:50.341000,2014-12-12,11:08:06.469000
17,Jek Tono Porkins,male,fair,brown,180,blue,110,26,unknown,2014-12-20,21:17:50.343000,2014-12-12,11:16:56.569000
18,Yoda,male,green,white,66,brown,17,28,896BBY,2014-12-20,21:17:50.345000,2014-12-15,12:26:01.042000
19,Palpatine,male,pale,grey,170,yellow,75,8,82BBY,2014-12-20,21:17:50.347000,2014-12-15,12:48:05.971000
20,Boba Fett,male,fair,black,183,brown,78.2,10,31.5BBY,2014-12-20,21:17:50.349000,2014-12-15,12:49:32.457000
21,IG-88,none,metal,none,200,red,140,28,15BBY,2014-12-20,21:17:50.351000,2014-12-15,12:51:10.076000
